,open,close,high,low,volume,money
2021-04-06,21.38,21.51,21.92,21.34,40425697.0,873387016.62
2021-04-07,21.71,21.47,21.76,21.14,52167487.0,1116774452.27
2021-04-08,21.29,21.39,21.56,21.16,38604153.0,825170840.99
2021-04-09,21.54,21.13,21.55,20.92,40209758.0,849870878.04
2021-04-12,21.34,20.54,21.34,20.47,59942002.0,1240067319.93
2021-04-13,20.56,20.62,20.72,20.43,50383527.0,1036992692.52
2021-04-14,20.63,20.51,20.78,20.26,54166474.0,1113001541.55
2021-04-15,20.6,20.2,20.61,19.92,74165167.0,1494016040.75
2021-04-16,20.2,20.1,20.27,19.66,73573874.0,1466509057.44
2021-04-19,19.87,20.98,21.07,19.75,112102927.0,2304021478.31
2021-04-20,20.92,21.52,21.78,20.76,84133712.0,1798249024.3
2021-04-21,22.13,22.83,23.01,22.12,160965875.0,3644577541.25
2021-04-22,23.01,22.8,23.05,22.6,83621834.0,1905208911.59
2021-04-23,23.14,23.11,23.47,22.89,82970378.0,1920413502.35
2021-04-26,23.68,22.76,24.04,22.72,87927810.0,2037109597.01
2021-04-27,22.77,22.76,23.01,22.68,47413073.0,1083043579.27
2021-04-28,23.11,23.17,23.27,22.6,59850769.0,1375141409.72
2021-04-29,23.16,23.41,23.53,22.93,61967177.0,1439823965.34
2021-04-30,23.17,23.11,23.31,22.83,56640057.0,1308177202.78
2021-05-06,22.92,23.32,23.52,22.92,50422939.0,1174181608.06
2021-05-07,23.49,23.86,24.11,23.21,80852258.0,1929112374.46
2021-05-10,23.81,23.67,23.85,22.84,66664025.0,1566860764.09
2021-05-11,23.44,23.35,23.56,22.88,50113346.0,1161846399.06
2021-05-12,23.11,23.37,23.46,22.7,53745870.0,1245517716.87
2021-05-13,23.34,22.89,23.41,22.66,55397480.0,1271946298.62
2021-05-14,23.14,23.32,23.43,22.6,56378536.0,1300250943.6
2021-05-17,23.15,23.6,23.82,22.95,52756465.0,1241605192.34
2021-05-18,23.85,23.9,24.11,23.4,39541498.0,939786731.95
2021-05-19,23.82,23.6,24.13,23.52,42942033.0,1022553739.18
