Date,close,market_cap,circulating_market_cap,Price1Y,ATR14,Variance120,VEMA26,net_interest_expense,net_invest_cash_flow_ttm,non_operating_net_profit_ttm
2020-04-28,13.19,262368020000,262365770000,-0.072014,36.635,0.106643,765658.997166,-24770000896,-72646000000,-93000000
2020-04-29,13.68,272070970000,272068650000,-0.037416,40.705714,0.106656,778117.738114,-24770000896,-72646000000,-93000000
2020-04-30,13.59,270324440000,270322120000,-0.043597,41.638571,0.106659,771611.313068,-24770000896,-72646000000,-93000000
2020-05-06,13.43,267219480000,267217210000,-0.054586,41.638571,0.106389,777407.289877,-24770000896,-72646000000,-93000000
2020-05-07,13.35,265667020000,265664750000,-0.059945,40.620714,0.106238,761171.120256,-24770000896,-72646000000,-93000000
2020-05-08,13.61,270712550000,270710250000,-0.042013,42.231429,0.107103,763110.000238,-24770000896,-72646000000,-93000000
2020-05-11,13.66,271682860000,271680540000,-0.038658,41.382857,0.106803,744820.370591,-24770000896,-72646000000,-93000000
2020-05-12,13.45,267607620000,267605320000,-0.053089,40.874286,0.106274,724494.565363,-24770000896,-72646000000,-93000000
2020-05-13,13.29,264502660000,264500420000,-0.0641,40.705,0.106462,710780.893854,-24770000896,-72646000000,-93000000
2020-05-14,12.97,258098710000,258096510000,-0.086985,38.161429,0.107552,717069.494309,-24770000896,-72646000000,-93000000
2020-05-15,12.9,256740310000,256738110000,-0.091911,38.162143,0.10758,711170.346583,-24770000896,-72646000000,-93000000
2020-05-18,12.88,256158130000,256155930000,-0.094159,38.331429,0.107564,698247.135726,-24770000896,-72646000000,-93000000
2020-05-19,13.03,259263060000,259260860000,-0.083478,39.009286,0.107812,683982.681226,-24770000896,-72646000000,-93000000
2020-05-20,13.18,262173950000,262171730000,-0.073394,38.585,0.108149,676420.186319,-24770000896,-72646000000,-93000000
2020-05-21,13.07,260039310000,260037080000,-0.081277,37.907143,0.105982,660774.246593,-24770000896,-72646000000,-93000000
2020-05-22,12.6,250724460000,250722310000,-0.114436,36.465,0.108472,665249.487586,-24770000896,-72646000000,-93000000
2020-05-25,12.64,251500710000,251498560000,-0.111732,34.599286,0.108001,641562.710727,-24770000896,-72646000000,-93000000
2020-05-26,12.72,253053170000,253051000000,-0.106308,32.987857,0.107659,618759.62104,-24770000896,-72646000000,-93000000
2020-05-27,12.68,252276930000,252274780000,-0.109229,33.497143,0.107453,603058.093554,-24770000896,-72646000000,-93000000
